13172,16458,,,,,,,,,,,,,
7302,,,,,,,,,,,,,,
282,576,1200,1619,1620,1835,1873,2252,2277,2278,2326,2389,2390,2394,2396
2398,2495,2763,2795,2805,2825,2853,2870,3009,3010,3011,3012,3022,3023,3117
3142,3163,3198,3207,3208,3372,3374,3389,3396,3404,3405,3459,3460,3530,3737
3738,3745,3873,3874,3905,3906,3907,3909,3912,3913,3927,3928,3930,3972,3998
4013,4019,4021,4089,4090,4114,4179,4193,4196,4208,4209,4215,4305,4354,4356
4358,4655,4656,4658,4676,4699,4705,4772,4778,4779,4780,4782,4811,4841,4927
4932,4933,4966,5120,5235,5337,5495,5604,5605,5607,5608,5698,5735,5737,5742
5743,5750,5751,5893,5931,5955,5960,6019,6088,6122,6126,6209,6236,6326,6448
6449,6452,6479,6493,6543,6546,6553,6694,6695,6697,6699,6707,6708,6712,6713
6718,6722,6727,6728,6734,6769,6926,6927,6982,6993,7031,7037,7039,7050,7121
7160,7244,7245,7258,7273,7303,7572,7576,7584,7802,7804,7870,7871,7950,7951
8019,8020,8023,8058,8154,8158,8160,8406,8477,8927,9003,9527,9540,9553,9900
9945,10404,11220,11223,11228,11237,11303,11320,11330,11372,11747,12476,12926,12928,12930
13094,13096,13101,13202,13203,13205,13304,13566,13572,13578,13579,13591,13637,13639,13646
13648,13724,13734,13744,13761,14071,14298,14446,14554,14584,14621,14692,14702,14708,14727
14768,15083,15085,15187,15401,15742,16515,16584,16593,16611,16613,16615,16723,16849,17135
17579,,,,,,,,,,,,,,
16715,16737,17545,17569,,,,,,,,,,,
,,,,,,,,,,,,,,
372,469,2118,13375,15482,17460,,,,,,,,,
290,497,1393,1651,2371,2863,2889,2934,3458,3864,4495,4678,4794,4934,5213
5675,5984,6115,6142,6193,6229,6579,6744,6801,6802,7040,7265,7268,7368,7370
7514,7551,8006,9275,9277,11582,11760,11766,13306,13476,14021,15456,15461,15838,15840
15873,15909,15974,16002,16186,16486,16686,16689,17161,17166,17264,,,,
,,,,,,,,,,,,,,
1650,6803,6823,6826,7203,13088,13306,14181,15097,15098,16677,17059,17207,17380,17475
17552,17565,17724,,,,,,,,,,,,
,,,,,,,,,,,,,,
14561,14663,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
14657,15830,,,,,,,,,,,,,
14549,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4016,5306,6308,16333,16334,,,,,,,,,,
,,,,,,,,,,,,,,
14549,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4823,4928,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2085,2086,2137,2178,3140,3509,3617,7932,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1650,6803,6823,6826,7203,13088,13306,14181,15097,15098,16677,17059,17207,17380,17475
17552,17565,17724,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
285,742,1520,1602,2458,2934,8235,9014,9634,9722,10219,11105,12895,13931,16708
,,,,,,,,,,,,,,
5053,14289,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1464,1489,1898,2051,2085,2086,2137,2144,2178,3140,3509,3617,7932,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
13577,13686,16060,,,,,,,,,,,,
